busv,current,power,hall_speed
11.6301660229648,28.36049275830427,363.02519943947567,16.713758792037282
11.694391986066387,30.014281903322498,381.83701883168936,17.558670050497085
11.757595870998362,31.63652939479758,400.4090075583638,18.389317031248076
11.819447571758968,33.21706477050921,418.6630587034883,19.201106628457207
11.879625964162154,34.74600869629114,436.52262716893694,19.98958265236067
11.93782103638847,36.213841734556446,453.91310465373385,20.750458019151917
11.993735944084351,37.61147048186939,470.76218444063824,21.479645605971076
12.047088976059602,38.930290593625784,487.0002140747373,22.173287528270965
12.097615417241917,40.16224623746844,502.56053408480085,22.827782609728786
12.145069296247158,41.29988554408661,517.3798009742886,23.43981182963963
12.189225005709993,42.33641165431695,531.398292794681,24.006361549245067
12.229878784386248,43.26572899474353,544.5601957087457,24.524744336579808
12.266850050979741,44.082484450027174,556.8138700549267,24.99261722901046
12.299982580656337,44.78210313869983,568.1120945356728,25.407997293530475
12.329145516279285,45.36081853983886,578.4122872715843,25.76927436688982
12.354234207525508,45.81569676057373,587.6767025890841,26.07522088059436
12.375170872214673,46.14465477844379,595.8726025412138,26.324998699517337
12.391905075393467,46.34647253787948,602.9724022983805,26.51816292712695
12.404414022958408,46.4207988261704,608.9537886876741,26.654662654948478
12.41270266786331,46.36815090085625,613.7998113049393,26.734838658642545
12.41680362823341,46.18990788717141,617.4989457723279,26.75941806778795
12.416776917988559,45.88829801063101,620.045128864733,26.72950606090352
12.412709491854162,45.46637977570912,621.4377653804949,26.646574661226502
12.40471460790176,44.928017246475186,621.6817067842134,26.512448732087172
12.392931012002894,44.27784962868058,620.7872018015703,26.329289293188673
12.377521949791635,43.52125539478802,618.7698192969069,26.099574300531952
12.358674012904608,42.66431123349514,615.6503439130897,25.82607705294319
12.336595827394586,41.71374614311285,611.4546450991037,25.511842406998664
12.311516593286937,40.67689102343648,606.2135202930401,25.160160999446173
12.283684485260338,39.56162415322487,599.9625131659105,24.77454169185279
12.253364925376903,38.376312969838764,592.741707964258,24.35868246603732
12.22083873965638,37.1297525937651,584.5955011161377,23.91644001076363
12.186400211077686,35.83110156347661,575.5723513849972,23.451798250080426
12.150355042294263,34.489815265180354,565.7245099686617,22.968836071517252
